CARDING CHAIN,,,
"Diamond Chain
Part No","Description
( Pitch x WIP )",Carding Machine,"MRP Per Pair
Rs. P."
C23101,106 or 110 Links,"MMC, H&B, T&S, TEXTTOOL",9678.00
C23301,106 or 110 Links,PLATT BROS,9678.00
C23401,106 or 110 Links,TOYADA M&N/ D&B,9678.00
C23401,92 Links,TOYADA M&N/ D&B,8096.00
C23501,110 or 112 Links,LAKSHMI TEITER-C1/3. LC 100,18531.00
C23501,92 Links,LMW LC-300,15502.00
C23601,80 Links,TRUMAC CARD DK 740,9927.00
C36522,112 Links,RIETER C4,57363.00
SP1976,94 Links,LMW LC-300A (NEW),26494.00
SP1807,93 Links,LMW LC- 300A (OLD),13613.00
